device_name,device_id,test_date,test_time,VStartPos,VEndPos,VStartNeg,VEndNeg
LBE247,ID161ZR15000,24.10.2024,10:45:56,1.5,5.0,-0.8,-3.6
LBE247,ID161ZR15000,24.10.2024,10:49:37,1.1,5.0,-0.8,-3.6
LBE247,ID161ZR15000,24.10.2024,10:56:24,2.4,5.0,-0.6,-1.9
LBE247,ID161ZR15000,24.10.2024,11:00:09,0.7,5.0,-0.5,-3.6
LBE247,ID161ZR15000,24.10.2024,11:04:02,0.7,5.0,-0.5,-3.7
LBE247,ID161ZR15000,24.10.2024,11:07:56,0.4,4.1,-0.4,-3.4
LBE247,ID161ZR15000,24.10.2024,11:11:32,0.3,4.2,-0.4,-3.4
LBE247,ID161ZR15000,24.10.2024,11:15:08,0.3,4.1,-0.3,-3.0
LBE247,ID161ZR15000,24.10.2024,11:19:00,0.3,4.1,-0.3,-3.0
LBE247,ID161ZR15000,24.10.2024,11:22:53,0.1,3.7,-0.1,-3.5
LBE247,ID161ZR15000,24.10.2024,11:26:07,0.1,3.7,-0.1,-3.5
LBE247,ID161ZR15000,24.10.2024,11:29:27,0.1,3.2,-0.1,-3.2
LBE247,ID161ZR15000,24.10.2024,11:32:36,0.1,3.2,-0.1,-3.2
LBE247,ID161ZR15000,24.10.2024,11:35:46,0.1,2.1,-0.1,-2.0
LBE247,ID161ZR15000,24.10.2024,11:38:44,0.1,2.0,-0.1,-2.0
LBE247,ID166ZR10000,24.10.2024,14:11:28,0.6,5.0,-0.6,-3.7
LBE247,ID166ZR10000,24.10.2024,14:15:34,0.6,5.0,-0.6,-3.7
LBE247,ID166ZR10000,24.10.2024,14:19:42,0.3,4.0,-0.4,-3.4
LBE247,ID166ZR10000,24.10.2024,14:23:29,0.4,4.1,-0.4,-3.4
LBE247,ID166ZR10000,24.10.2024,14:27:19,0.2,4.0,-0.3,-3.0
LBE247,ID170ZR5000,24.10.2024,13:18:15,0.6,5.0,-0.5,-3.7
LBE247,ID170ZR5000,24.10.2024,13:22:32,0.6,5.0,-0.5,-3.7
LBE247,ID170ZR5000,24.10.2024,13:26:51,0.4,4.1,-0.4,-3.4
LBE247,ID170ZR5000,24.10.2024,13:30:47,0.4,4.1,-0.4,-3.3
LBE247,ID170ZR5000,24.10.2024,13:34:43,0.3,4.1,-0.3,-2.9
LBE247,ID170ZR5000,24.10.2024,13:38:58,0.3,4.1,-0.3,-2.9
LBE247,ID170ZR5000,24.10.2024,13:43:14,0.1,3.7,-0.2,-3.5
LBE247,ID170ZR5000,24.10.2024,13:46:45,0.3,3.7,-0.2,-3.0
LBE247,ID170ZR5000,24.10.2024,13:50:17,0.3,3.2,-0.2,-2.5
LBE247,ID170ZR5000,24.10.2024,13:53:35,0.4,3.2,-0.2,-2.5
LBE247,ID170ZR5000,24.10.2024,13:56:55,0.2,2.0,-0.1,-1.9
LBE247,ID170ZR5000,24.10.2024,14:00:02,0.2,2.0,-0.1,-1.9
LBE247,ID180ZR1000,24.10.2024,11:53:41,1.8,5.0,-0.6,-3.6
LBE247,ID180ZR1000,24.10.2024,11:58:00,0.6,5.0,-0.5,-3.6
LBE247,ID181ZR1000,24.10.2024,12:08:36,0.9,4.9,-0.7,-3.6
LBE247,ID181ZR1000,24.10.2024,12:12:55,0.9,5.0,-0.6,-3.6
LBE247,ID181ZR1000,24.10.2024,12:17:15,0.7,4.0,-0.4,-3.4
LBE247,ID181ZR1000,24.10.2024,12:21:13,0.6,4.1,-0.4,-3.4
LBE247,ID181ZR1000,24.10.2024,12:25:12,0.5,4.0,-0.4,-3.0
LBE247,ID181ZR1000,24.10.2024,12:29:30,0.5,4.1,-0.3,-2.9
LBE247,ID181ZR1000,24.10.2024,12:33:48,0.3,3.7,-0.2,-3.1
LBE247,ID181ZR1000,24.10.2024,12:37:23,0.3,3.7,-0.0,-2.9
LBE247,ID181ZR1000,24.10.2024,12:40:59,0.3,3.2,-0.1,-2.5
LBE247,ID181ZR1000,24.10.2024,12:44:23,0.4,3.2,-0.0,-2.5
LBE247,ID181ZR1000,24.10.2024,12:47:49,0.3,2.1,-0.1,-1.7
LBE247,ID181ZR1000,24.10.2024,12:51:01,0.2,2.1,-0.0,-2.0
LBE247,ID183ZR1000,24.10.2024,16:01:14,0.5,4.0,-0.3,-2.9
LBE247,ID183ZR1000,24.10.2024,16:05:30,0.5,4.0,-0.3,-3.0
LBE247,ID188ZR500,24.10.2024,15:03:28,0.7,3.6,-0.4,-3.7
LBE247,ID188ZR500,24.10.2024,15:07:46,0.6,4.0,-0.5,-3.4
