epoch,train_loss,val_loss,val_acc,test_acc,pulses,pulses_pos,pulses_neg
0.0,2.271375881989797,2.045909828962164,0.26875,0.0,-1.0,-1.0,-1.0
1.0,1.2311871190865835,0.7949469780668299,0.7570833333333333,0.0,-1.0,-1.0,-1.0
2.0,0.6403965789874395,0.5225442911082125,0.8435,0.0,-1.0,-1.0,-1.0
3.0,0.47176237936814625,0.43593098532329216,0.86875,0.0,-1.0,-1.0,-1.0
4.0,0.40198238895336785,0.385262150713738,0.8875,0.0,-1.0,-1.0,-1.0
5.0,0.3661083470483621,0.3650349132082564,0.8949166666666667,0.0,-1.0,-1.0,-1.0
6.0,0.34154163240393004,0.33246383609923913,0.9065,0.0,-1.0,-1.0,-1.0
7.0,0.3217615978817145,0.3229538884727245,0.9059166666666667,0.0,-1.0,-1.0,-1.0
8.0,0.3021070949236552,0.3058941431264294,0.91025,0.0,-1.0,-1.0,-1.0
9.0,0.28636008775234223,0.28759369610788976,0.9156666666666666,0.0,-1.0,-1.0,-1.0
10.0,0.26334687088926634,0.28505434052265705,0.91675,0.0,-1.0,-1.0,-1.0
11.0,0.25754017756382624,0.27137595030697104,0.92075,0.0,-1.0,-1.0,-1.0
12.0,0.24929879904786745,0.2721638647799796,0.92025,0.0,-1.0,-1.0,-1.0
13.0,0.24296599284311135,0.2765339459193514,0.9186666666666666,0.0,-1.0,-1.0,-1.0
14.0,0.23687219619750977,0.25084245454599247,0.9283333333333333,0.0,-1.0,-1.0,-1.0
15.0,0.22890347403287886,0.24561358366082323,0.92825,0.0,-1.0,-1.0,-1.0
16.0,0.2230571423669656,0.23961997606811372,0.93025,0.0,-1.0,-1.0,-1.0
17.0,0.21734942580759525,0.23118500078612186,0.9318333333333333,0.0,-1.0,-1.0,-1.0
18.0,0.21161425395309924,0.22261942578281493,0.9360833333333334,0.0,-1.0,-1.0,-1.0
19.0,0.20623888114094735,0.21983204583855384,0.9354166666666667,0.0,-1.0,-1.0,-1.0
20.0,0.19611456273992856,0.2225365146519022,0.9344166666666667,0.0,-1.0,-1.0,-1.0
21.0,0.19465144756436348,0.22104583000962405,0.9355,0.0,-1.0,-1.0,-1.0
22.0,0.19171135672926903,0.21058457455736526,0.93975,0.0,-1.0,-1.0,-1.0
23.0,0.18880019200841586,0.20595751900939233,0.9415833333333333,0.0,-1.0,-1.0,-1.0
24.0,0.1862528817852338,0.21552100302057065,0.9369166666666666,0.9412,-1.0,-1.0,-1.0
