device_id,test_date,test_time,symmetry_point
ID180XR1000Star,19.09.2024,16:28:56,0.64
ID294YR,19.09.2024,11:05:17,0.03
ID294YR,19.09.2024,11:21:56,1.0
ID294YR,19.09.2024,11:13:50,0.95
ID300XR1000Oct,19.09.2024,13:12:58,0.45
ID300ZR1000Oct,19.09.2024,11:43:27,0.58
ID301XR1000Oct,19.09.2024,14:20:07,0.53
ID301XR1000Oct,19.09.2024,14:34:40,0.32
ID301XR1000Oct,19.09.2024,14:41:43,0.3
ID301XR1000Oct,19.09.2024,14:49:16,0.25
ID301XR1000Oct,19.09.2024,14:57:10,-0.17
ID301XR1000Oct,19.09.2024,15:05:10,0.05
ID301XR1000Oct,19.09.2024,15:15:59,0.1
ID301XR1000Oct,19.09.2024,15:26:38,0.11
ID301XR1000Oct,19.09.2024,15:35:56,0.46
ID301XR1000Oct,19.09.2024,15:44:58,0.2
ID301XR1000Oct,19.09.2024,15:55:19,0.7
ID301XR1000Oct,19.09.2024,16:05:42,0.79
ID305ZR500Oct,19.09.2024,12:16:08,0.55
ID36ZR1000Circ,19.09.2024,16:37:37,0.53
ID161ZR15000,24.10.2024,10:49:37,0.72
ID161ZR15000,24.10.2024,11:04:02,0.36
ID161ZR15000,24.10.2024,11:11:32,0.56
ID161ZR15000,24.10.2024,11:19:00,0.44
ID161ZR15000,24.10.2024,11:26:07,0.17
ID161ZR15000,24.10.2024,11:32:36,0.15
ID161ZR15000,24.10.2024,11:38:44,0.22
ID166ZR10000,24.10.2024,14:15:34,0.63
ID166ZR10000,24.10.2024,14:23:29,0.53
ID170ZR5000,24.10.2024,13:22:32,0.6
ID170ZR5000,24.10.2024,13:30:47,0.51
ID170ZR5000,24.10.2024,13:38:58,0.35
ID170ZR5000,24.10.2024,13:46:45,0.16
ID170ZR5000,24.10.2024,13:53:35,0.4
ID170ZR5000,24.10.2024,14:00:02,0.15
ID180ZR1000,24.10.2024,11:58:00,0.5
ID181ZR1000,24.10.2024,12:12:55,0.32
ID181ZR1000,24.10.2024,12:21:13,0.09
ID181ZR1000,24.10.2024,12:29:30,0.1
ID181ZR1000,24.10.2024,12:37:23,0.37
ID181ZR1000,24.10.2024,12:44:23,0.62
ID181ZR1000,24.10.2024,12:51:01,0.01
ID183ZR1000,24.10.2024,16:05:30,0.3
ID188ZR500,24.10.2024,15:07:46,0.26
